date,open,high,low,close,volume
2018-03-19,174.6604,174.8081,171.0553,172.6707,33446771
2018-03-20,172.6116,174.1482,172.3161,172.6116,19649350
2018-03-21,172.4146,172.4638,168.6913,168.7011,37054935
2018-03-22,167.4502,170.09,166.0712,166.3174,41490767
2018-03-23,165.8643,167.3714,162.466,162.466,41028784
2018-03-26,165.5491,170.5037,163.9436,170.1786,37541236
2018-03-27,171.075,172.5229,164.4163,165.8151,40922579
2018-03-28,164.7414,167.4699,162.7123,163.9829,41668545
2018-03-29,165.2881,169.1739,164.3966,165.2635,38398505
2018-04-02,165.362,166.4061,162.0031,164.1799,37586791
2018-04-03,165.1256,166.2145,162.4069,165.8643,30278046
2018-04-04,162.4069,169.43,162.2986,169.036,34605489
2018-04-05,169.9915,171.6171,169.499,170.2082,26933197
2018-04-06,168.4056,169.893,165.6772,165.8545,35005290
2018-04-09,167.332,170.4938,167.2975,167.4994,29017718
2018-04-10,170.4052,171.3902,168.9572,170.6514,28614241
2018-04-11,169.6467,171.3145,169.1247,169.8536,22431640
2018-04-12,170.809,172.3752,170.4446,171.5281,22889285
2018-04-13,172.1585,173.2026,171.2424,172.1092,25124255
2018-04-16,172.4048,173.5473,172.2078,173.1829,21578420
2018-04-17,173.8428,176.2526,173.764,175.5666,26605442
2018-04-18,175.143,176.1379,174.227,175.1726,20754538
2018-04-19,172.3259,172.7593,170.0703,170.2082,34808800
2018-04-20,168.0362,168.6503,162.9487,163.2343,65491140
2018-04-23,164.3324,164.4163,161.6288,162.7615,36515477
2018-04-24,163.1851,163.8352,158.8019,160.496,33692017
2018-04-25,160.1808,162.9388,159.974,161.1954,28382084
2018-04-26,161.6583,163.2442,160.9196,161.7568,27963014
2018-04-27,161.5401,161.8652,158.2207,159.8853,35655839
2018-04-30,159.6984,164.7513,159.4125,162.7812,42427424
2018-05-01,163.9142,166.6622,162.7911,166.5637,53569376
2018-05-02,172.5968,175.0839,171.1932,173.9216,66539371
2018-05-03,173.242,174.8377,171.8246,174.2368,34068180
2018-05-04,175.5764,181.4864,175.4976,181.0727,56201317
2018-05-07,182.4025,184.8551,181.9789,182.3828,42451423
2018-05-08,182.2153,183.4269,180.9102,183.2594,28402777
2018-05-09,183.7519,184.5892,182.4419,184.5498,23211241
2018-05-10,184.9241,187.5146,184.8354,187.1896,27989289
2018-05-11,187.3675,187.9311,185.3503,186.4776,26212221
2018-05-14,186.8929,187.4071,185.7558,186.0425,20778772
2018-05-15,184.6879,184.9746,183.0267,184.3517,23695159
2018-05-16,183.9858,186.349,183.9166,186.0722,19183064
2018-05-17,185.8942,186.794,184.2726,184.8955,17294029
2018-05-18,185.0933,185.7065,184.0451,184.2231,18297728
2018-05-21,185.8942,187.15,184.817,185.5283,18400787
2018-05-22,186.265,186.7643,184.6879,185.0636,15240704
2018-05-23,184.2627,186.3886,183.6793,186.2502,20058415
2018-05-24,186.6556,186.7248,184.1242,186.0425,23233975
2018-05-25,186.1216,187.5257,185.5481,186.4677,17460963
2018-05-29,185.4987,186.6358,184.7768,185.7953,22514075
2018-05-30,185.6173,185.8942,184.6879,185.3998,18690547
2018-05-31,185.1229,186.1216,184.055,184.7768,27482793
2018-06-01,185.8855,188.1289,185.647,188.1091,23442510
2018-06-04,189.4885,191.2535,189.2067,189.6813,26266174
2018-06-05,190.9025,191.7677,190.2054,191.1447,21565963
2018-06-06,191.4611,191.9061,189.7703,191.8072,20933619
2018-06-07,191.9654,192.0247,190.1806,191.293,21347180
2018-06-08,189.0287,189.8494,187.6444,189.5527,26656799
2018-06-11,189.2067,189.8197,188.0794,189.088,18308460
2018-06-12,189.2413,190.4535,189.0089,190.1262,16911141
2018-06-13,190.2647,190.7195,188.3069,188.5639,21638393
2018-06-14,189.4044,189.4242,188.0893,188.6628,21610074
2018-06-15,187.9015,188.03,186.1513,186.7248,61719160
2018-06-18,185.7755,187.1005,185.1031,186.6259,18484865
2018-06-19,183.0662,184.2429,181.3952,183.6101,33578455
2018-06-20,184.2627,185.1031,183.6496,184.411,20628701
2018-06-21,185.1526,186.2403,182.8685,183.3826,25711898
2018-06-22,184.0352,184.0649,182.6312,182.8487,27200447
2018-06-25,181.3457,182.8487,178.7056,180.1295,31663096
2018-06-26,180.9403,184.4407,180.4953,182.3642,24569201
