date,open,high,low,close,volume
2017-04-24,908.68,909.99,903.82,907.41,3122893
2017-04-25,907.04,909.48,903.0,907.62,3380639
2017-04-26,910.3,915.749,907.56,909.29,2608948
2017-04-27,914.39,921.86,912.11,918.38,5305543
2017-04-28,948.83,949.59,924.3335,924.99,7364681
2017-05-01,927.8,954.4,927.8,948.23,5466544
2017-05-02,946.645,950.1,941.413,946.94,3848835
2017-05-03,946.0,946.0,935.9,941.03,3582686
2017-05-04,944.75,945.0,934.215,937.53,2418381
2017-05-05,940.52,940.79,930.3,934.15,2866397
2017-05-08,940.95,949.05,939.21,949.04,3415731
2017-05-09,952.8,957.89,950.2,952.82,3262113
2017-05-10,953.5,953.7499,945.0,948.95,2096512
2017-05-11,945.11,950.29,940.775,947.62,2194070
2017-05-12,954.5,962.79,951.53,961.35,3625857
2017-05-15,958.73,963.15,956.055,957.97,4270625
2017-05-16,961.0,970.06,960.91,966.07,3126051
2017-05-17,954.7,960.3957,944.12,944.76,5145578
2017-05-18,944.8,962.75,944.76,958.49,3939347
2017-05-19,962.84,968.92,959.72,959.84,3972089
2017-05-22,964.0,971.38,962.9,970.67,2642217
2017-05-23,975.02,975.2,966.85,971.54,2415594
2017-05-24,976.0,981.0,970.23,980.35,2463052
2017-05-25,984.85,999.0,982.11,993.38,4822032
2017-05-26,995.0,998.65,989.2491,995.78,3469154
2017-05-30,996.51,1001.2,995.52,996.7,3263069
2017-05-31,1000.0,1000.12,982.16,994.62,3913115
2017-06-01,998.59,998.99,991.37,995.95,2454841
2017-06-02,998.99,1008.48,995.67,1006.73,3752328
2017-06-05,1007.23,1013.21,1003.51,1011.34,2719859
2017-06-06,1012.0,1016.5,1001.25,1003.0,3346432
2017-06-07,1005.95,1010.25,1002.0,1010.07,2823041
2017-06-08,1012.06,1013.61,1006.11,1010.27,2767857
2017-06-09,1012.5,1012.99,927.0,978.31,7647692
2017-06-12,967.0,975.95,945.0,964.91,9447233
2017-06-13,977.99,984.5,966.1,980.79,4580011
2017-06-14,988.59,990.34,966.71,976.47,3974900
2017-06-15,958.7,965.73,950.86,964.17,5373865
2017-06-16,996.0,999.75,982.0,987.71,11472662
2017-06-19,1017.0,1017.0,989.9,995.17,5043408
2017-06-20,998.0,1004.88,992.02,992.59,4076828
2017-06-21,998.7,1002.72,992.6518,1002.23,2922473
2017-06-22,1002.23,1006.96,997.2,1001.3,2253433
2017-06-23,1002.54,1004.62,998.02,1003.74,2879145
2017-06-26,1008.5,1009.8,992.0,993.98,3386157
2017-06-27,990.69,998.8,976.0,976.78,3782389
2017-06-28,978.55,990.68,969.21,990.33,3737567
2017-06-29,979.0,987.56,965.25,975.93,4302968
2017-06-30,980.12,983.47,967.61,968.0,3390345
2017-07-03,972.79,974.49,951.0001,953.66,2909108
2017-07-05,961.53,975.0,955.25,971.4,3652955
2017-07-06,964.66,974.4,959.02,965.14,3259613
2017-07-07,969.55,980.11,969.14,978.76,2643387
2017-07-10,985.0,999.4392,983.5,996.47,3546268
2017-07-11,993.0,995.99,983.72,994.13,2982726
2017-07-12,1000.65,1008.55,998.1,1006.51,3608574
2017-07-13,1004.62,1006.88,995.9,1000.63,2880769
2017-07-14,1002.4,1004.45,996.89,1001.81,2102469
2017-07-17,1004.69,1014.75,1003.81,1010.04,3712587
2017-07-18,1006.0,1026.03,1004.0,1024.45,4007624
2017-07-19,1025.0,1031.59,1022.5,1026.87,2963964
2017-07-20,1031.59,1034.97,1022.51,1028.7,3097487
2017-07-21,1021.28,1026.1,1011.0,1025.67,2734577
2017-07-24,1028.34,1043.01,1027.43,1038.95,3288020
2017-07-25,1038.05,1043.33,1032.48,1039.87,2447629
2017-07-26,1043.2,1053.2,1043.2,1052.8,2921253
2017-07-27,1069.55,1083.31,1040.18,1046.0,10991715
2017-07-28,1012.14,1032.85,1001.0,1020.04,7709420
2017-07-31,1019.05,1019.05,987.02,987.78,7352063
2017-08-01,996.11,1006.4,991.58,996.19,2650376
2017-08-02,1001.77,1003.21,981.73,995.89,4069993
2017-08-03,999.47,999.5,984.59,986.92,3255764
2017-08-04,989.68,991.672,982.0,987.58,2730308
2017-08-07,990.65,995.0,987.14,992.27,2676607
2017-08-08,994.35,996.28,985.79,989.84,2902815
2017-08-09,982.6,988.0,975.27,982.01,3569731
2017-08-10,976.295,979.86,954.68,956.92,5684068
2017-08-11,960.0,970.39,951.38,967.99,3468017
2017-08-14,978.41,985.5,976.19,983.3,3172892
2017-08-15,988.9,991.74,982.0,982.74,2549295
2017-08-16,981.65,986.4605,973.22,978.18,3132066
2017-08-17,977.84,977.84,960.32,960.57,3512397
2017-08-18,961.4,965.43,954.65,958.47,3284821
2017-08-21,957.57,961.2,945.46,953.29,3164483
2017-08-22,955.52,967.93,955.495,966.9,2749970
2017-08-23,959.38,962.0,954.2,958.0,2668264
2017-08-24,957.42,959.0,941.14,952.45,5195726
2017-08-25,956.0,957.621,944.1,945.26,3324791
2017-08-28,946.54,953.0,942.25,946.02,2596737
2017-08-29,940.0,956.0,936.33,954.06,2874299
2017-08-30,958.44,969.41,956.9062,967.59,2904604
2017-08-31,974.7,981.0,972.76,980.6,3331488
2017-09-01,984.2,984.5,976.875,978.25,2535917
2017-09-05,975.4,976.7699,960.37,965.27,2998649
2017-09-06,968.32,971.84,960.6,967.8,2129861
2017-09-07,974.0,980.59,972.55,979.47,2566794
2017-09-08,979.1,979.88,963.47,965.9,2605322
2017-09-11,974.46,981.94,974.22,977.96,2186666
2017-09-12,983.27,984.6718,975.517,982.58,2481066
2017-09-13,983.97,1000.0,979.42,999.6,3374650
2017-09-14,996.8,998.56,987.74,992.21,3913263
2017-09-15,993.01,996.25,984.03,986.79,3760183
2017-09-18,990.4,992.7922,968.17,974.19,3411324
2017-09-19,977.25,978.24,967.46,969.86,2671054
2017-09-20,971.79,974.81,962.1626,973.21,2888795
2017-09-21,971.31,971.7,962.02,964.65,2337576
2017-09-22,961.01,965.61,954.42,955.1,2641787
2017-09-25,949.31,949.42,932.89,939.79,5123997
2017-09-26,945.49,948.63,931.75,938.6,3564848
2017-09-27,948.0,955.3,943.3,950.87,3148933
2017-09-28,951.86,959.7,950.101,956.4,2522567
2017-09-29,960.11,964.83,958.375,961.35,2543759
2017-10-02,964.0,967.305,952.1201,959.19,2442937
2017-10-03,958.0,963.69,950.37,957.1,2666574
2017-10-04,954.21,967.79,954.05,965.45,2527352
2017-10-05,970.0,981.51,969.64,980.85,3229224
2017-10-06,975.64,995.75,975.64,989.58,3782067
2017-10-09,993.24,998.5,987.5,990.99,2938586
2017-10-10,996.67,997.95,980.099,987.2,3084921
2017-10-11,991.27,995.5,986.695,995.0,2337113
